Year,Year ending,Police Service Area,Local Government Area,LGA,Offence Division,offence_div,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.7,1.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,150,126.1,134.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,120,100.9,107.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",59,49.6,52.9
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,267,224.5,239.5
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,177,148.8,158.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,349,293.4,313.1
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,10,8.4,9.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,39,32.8,35.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,4,3.4,3.6
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,29,24.4,26.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,17,14.3,15.3
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,27,22.7,24.2
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,9,7.6,8.1
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,50,42.0,44.9
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,31,26.1,27.8
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,75,63.1,67.3
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,10,8.4,9.0
2020,June,Ballarat,Ballarat,BALLARAT,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,103,86.6,92.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B11 Cause damage by fire,113,95.0,101.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B12 Cause a bushfire,5,4.2,4.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B10 Arson,B19 Other fire related offences,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B21 Criminal damage,879,739.0,788.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B22 Graffiti,84,70.6,75.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B20 Property damage,B29 Other property damage offences,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,210,176.5,188.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4,3.4,3.6
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,481,404.4,431.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,182,153.0,163.3
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,702,590.2,629.8
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1611,1354.3,1445.2
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B43 Steal from a retail store,554,465.7,497.0
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,75,63.1,67.3
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,296,248.8,265.5
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B40 Theft,B49 Other theft,997,838.2,894.4
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,114,95.8,102.3
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,396,332.9,355.2
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B50 Deception,B54 State false information,18,15.1,16.1
2020,June,Ballarat,Ballarat,BALLARAT,B Property and deception offences,B Property and deception offences,B50 Deception,B59 Other deception offences,1,0.8,0.9
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,79,66.4,70.9
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,18,15.1,16.1
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,4,3.4,3.6
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C30 Drug use and possession,C31 Drug use,11,9.2,9.9
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C30 Drug use and possession,C32 Drug possession,342,287.5,306.8
2020,June,Ballarat,Ballarat,BALLARAT,C Drug offences,C Drug offences,C90 Other drug offences,C99 Other drug offences,6,5.0,5.4
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,112,94.2,100.5
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,198,166.5,177.6
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,3.4,3.6
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,14,11.8,12.6
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,58,48.8,52.0
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,24,20.2,21.5
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,7,5.9,6.3
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,27,22.7,24.2
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,1.7,1.8
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,1,0.8,0.9
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,7,5.9,6.3
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,35,29.4,31.4
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,D Public order and security offences,D Public order and security offences,D40 Public security offences,D43 Hacking,1,0.8,0.9
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E11 Escape custody,1,0.8,0.9
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,415,348.9,372.3
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury,24,20.2,21.5
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences,15,12.6,13.5
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,40,33.6,35.9
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,989,831.4,887.2
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,75,63.1,67.3
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,236,198.4,211.7
2020,June,Ballarat,Ballarat,BALLARAT,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,28,23.5,25.1
2020,June,Ballarat,Ballarat,BALLARAT,F Other offences,F Other offences,F20 Transport regulation offences,F21 Public transport,3,2.5,2.7
2020,June,Ballarat,Ballarat,BALLARAT,F Other offences,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,0.8,0.9
2020,June,Ballarat,Ballarat,BALLARAT,F Other offences,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences,2,1.7,1.8
2020,June,Ballarat,Ballarat,BALLARAT,F Other offences,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,82,68.9,73.6
2020,June,Ballarat,Ballarat,BALLARAT,F Other offences,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,4,3.4,3.6
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,14,11.8,187.2
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,6,5.0,80.2
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",10,8.4,133.7
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,28,23.5,374.4
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,7,5.9,93.6
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,20,16.8,267.4
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,4,3.4,53.5
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,7,5.9,93.6
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,5,4.2,66.9
2020,June,Ballarat,Pyrenees,PYRENEES,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,10,8.4,133.7
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B10 Arson,B11 Cause damage by fire,4,3.4,53.5
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B10 Arson,B12 Cause a bushfire,5,4.2,66.9
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B10 Arson,B19 Other fire related offences,6,5.0,80.2
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B20 Property damage,B21 Criminal damage,56,47.1,748.7
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,28,23.5,374.4
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,22,18.5,294.1
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,13,10.9,173.8
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,34,28.6,454.6
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B43 Steal from a retail store,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,8,6.7,107.0
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B40 Theft,B49 Other theft,53,44.6,708.6
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,B Property and deception offences,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,8,6.7,107.0
2020,June,Ballarat,Pyrenees,PYRENEES,C Drug offences,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,6,5.0,80.2
2020,June,Ballarat,Pyrenees,PYRENEES,C Drug offences,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,C Drug offences,C Drug offences,C30 Drug use and possession,C32 Drug possession,6,5.0,80.2
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,24,20.2,320.9
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,3,2.5,40.1
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,2.5,40.1
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,D Public order and security offences,D Public order and security offences,D40 Public security offences,D43 Hacking,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,7,5.9,93.6
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences,26,21.9,347.6
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,85,71.5,1136.5
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order,8,6.7,107.0
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions,3,2.5,40.1
2020,June,Ballarat,Pyrenees,PYRENEES,E Justice procedures offences,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,F Other offences,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,0.8,13.4
2020,June,Ballarat,Pyrenees,PYRENEES,F Other offences,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,F Other offences,F Other offences,F90 Miscellaneous offences,F91 Environmental offences,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,F Other offences,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,2,1.7,26.7
2020,June,Ballarat,Pyrenees,PYRENEES,F Other offences,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,2,1.7,26.7
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,4,3.0,3.0
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,104,78.6,78.6
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,129,97.5,97.5
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",53,40.0,40.0
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,203,153.4,153.4
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,176,133.0,133.0
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,155,117.1,117.1
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,3,2.3,2.3
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,10,7.6,7.6
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,48,36.3,36.3
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3,2.3,2.3
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,2,1.5,1.5
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,2,1.5,1.5
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,22,16.6,16.6
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,19,14.4,14.4
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,39,29.5,29.5
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,20,15.1,15.1
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,44,33.2,33.2
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,71,53.6,53.6
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,11,8.3,8.3
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,14,10.6,10.6
2020,June,Banyule,Banyule,BANYULE,A Crimes against the person,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,39,29.5,29.5
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B10 Arson,B11 Cause damage by fire,34,25.7,25.7
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,0.8,0.8
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B20 Property damage,B21 Criminal damage,580,438.2,438.2
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B20 Property damage,B22 Graffiti,73,55.1,55.1
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B20 Property damage,B29 Other property damage offences,10,7.6,7.6
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,58,43.8,43.8
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1,0.8,0.8
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,495,373.9,373.9
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,189,142.8,142.8
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,311,234.9,234.9
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1182,892.9,892.9
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B43 Steal from a retail store,291,219.8,219.8
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,78,58.9,58.9
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,664,501.6,501.6
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B40 Theft,B49 Other theft,559,422.3,422.3
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,77,58.2,58.2
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,457,345.2,345.2
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B50 Deception,B54 State false information,22,16.6,16.6
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,3,2.3,2.3
2020,June,Banyule,Banyule,BANYULE,B Property and deception offences,B Property and deception offences,B50 Deception,B59 Other deception offences,12,9.1,9.1
2020,June,Banyule,Banyule,BANYULE,C Drug offences,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,100,75.5,75.5
2020,June,Banyule,Banyule,BANYULE,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,23,17.4,17.4
2020,June,Banyule,Banyule,BANYULE,C Drug offences,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,14,10.6,10.6
2020,June,Banyule,Banyule,BANYULE,C Drug offences,C Drug offences,C30 Drug use and possession,C31 Drug use,4,3.0,3.0
2020,June,Banyule,Banyule,BANYULE, C Drug offences ,C Drug offences,C30 Drug use and possession,C32 Drug possession,578,436.6,436.6
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,69,52.1,52.1
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,188,142.0,142.0
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,6,4.5,4.5
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,7,5.3,5.3
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,22,16.6,16.6
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,13,9.8,9.8
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3,2.3,2.3
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,34,25.7,25.7
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,0.8,0.8
2020,June,Banyule,Banyule,BANYULE,D Public order and security offences,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,5,3.8,3.8
