Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2016,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1173,10138
2016,June,4 Western, Pyrenees,PYRENEES,579,7914
2016,June,4 Western, Queenscliffe,QUEENSCLIFFE,154,5258
2016,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1222,7579
2016,June,4 Western, Surf Coast,SURF COAST,1543,5065
2016,June,4 Western, Swan Hill,SWAN HILL,2262,10825
2016,June,4 Western, Warrnambool,WARRNAMBOOL,3029,8846
2016,June,4 Western, West Wimmera,WEST WIMMERA,202,5131
2016,June,4 Western, Yarriambiack,YARRIAMBIACK,500,7415
2016,June,4 Western,Total,TOTAL,84711,8755
2016,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,1635,
2016,June,Justice Institutions and Immigration Facilities,Total,TOTAL,1635,
2016,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,128,
2016,June,Unincorporated Vic,Total,TOTAL,128,
2015,June,1 North West Metro, Banyule,BANYULE,8952,7100
2015,June,1 North West Metro, Brimbank,BRIMBANK,18153,9038
2015,June,1 North West Metro, Darebin,DAREBIN,14397,9473
2015,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6774,7389
2015,June,1 North West Metro, Hume,HUME,18937,9556
2015,June,1 North West Metro, Maribyrnong,MARIBYRNONG,7908,9327
2015,June,1 North West Metro, Melbourne,MELBOURNE,34527,25226
2015,June,1 North West Metro, Melton,MELTON,10151,7524
2015,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,9034,7514
2015,June,1 North West Metro, Moreland,MORELAND,12926,7700
2015,June,1 North West Metro, Nillumbik,NILLUMBIK,2240,3518
2015,June,1 North West Metro, Whittlesea,WHITTLESEA,12991,6600
2015,June,1 North West Metro, Wyndham,WYNDHAM,12946,6055
2015,June,1 North West Metro, Yarra,YARRA,12669,14089
2015,June,1 North West Metro,Total,TOTAL,182605,9233
2015,June,2 Eastern, Alpine,ALPINE,444,3572
2015,June,2 Eastern, Bass Coast,BASS COAST,2602,7987
2015,June,2 Eastern, Baw Baw,BAW BAW,3584,7492
2015,June,2 Eastern, Benalla,BENALLA,1083,7778
2015,June,2 Eastern, Boroondara,BOROONDARA,6583,3767
2015,June,2 Eastern, East Gippsland,EAST GIPPSLAND,4123,9189
2015,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,7360,11413
2015,June,2 Eastern, Indigo,INDIGO,475,2983
2015,June,2 Eastern, Knox,KNOX,9753,6146
2015,June,2 Eastern, Latrobe,LATROBE,12909,17382
2015,June,2 Eastern, Manningham,MANNINGHAM,4325,3581
2015,June,2 Eastern, Mansfield,MANSFIELD,435,5100
2015,June,2 Eastern, Maroondah,MAROONDAH,7810,6910
2015,June,2 Eastern, Mitchell,MITCHELL,3684,9150
2015,June,2 Eastern, Moira,MOIRA,1480,5053
2015,June,2 Eastern, Monash,MONASH,9411,4975
2015,June,2 Eastern, Murrindindi,MURRINDINDI,641,4629
2015,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1231,4277
2015,June,2 Eastern, Strathbogie,STRATHBOGIE,494,4855
2015,June,2 Eastern, Towong,TOWONG,170,2831
2015,June,2 Eastern, Wangaratta,WANGARATTA,2450,8706
2015,June,2 Eastern, Wellington,WELLINGTON,4194,9715
2015,June,2 Eastern, Whitehorse,WHITEHORSE,7501,4500
2015,June,2 Eastern, Wodonga,WODONGA,3278,8357
2015,June,2 Eastern, Yarra Ranges,YARRA RANGES,7071,4610
2015,June,2 Eastern,Total,TOTAL,103091,6324
2015,June,3 Southern Metro, Bayside,BAYSIDE,4286,4232
2015,June,3 Southern Metro, Cardinia,CARDINIA,6338,6867
2015,June,3 Southern Metro, Casey,CASEY,19449,6493
2015,June,3 Southern Metro, Frankston,FRANKSTON,14514,10533
2015,June,3 Southern Metro, Glen Eira,GLEN EIRA,5787,3966
2015,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,17316,11096
2015,June,3 Southern Metro, Kingston,KINGSTON,10237,6552
2015,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,10535,6633
2015,June,3 Southern Metro, Port Phillip,PORT PHILLIP,11984,11265
2015,June,3 Southern Metro, Stonnington,STONNINGTON,9797,9069
2015,June,3 Southern Metro,Total,TOTAL,110243,7539
2015,June,4 Western, Ararat,ARARAT,1138,9773
2015,June,4 Western, Ballarat,BALLARAT,11021,10860
2015,June,4 Western, Buloke,BULOKE,230,3647
2015,June,4 Western, Campaspe,CAMPASPE,3006,8031
2015,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1078,8324
2015,June,4 Western, Colac-Otway,COLAC-OTWAY,1351,6364
2015,June,4 Western, Corangamite,CORANGAMITE,637,3914
2015,June,4 Western, Gannawarra,GANNAWARRA,531,5040
2015,June,4 Western, Glenelg,GLENELG,1799,9122
2015,June,4 Western, Golden Plains,GOLDEN PLAINS,656,3067
2015,June,4 Western, Greater Bendigo,GREATER BENDIGO,8485,7720
2015,June,4 Western, Greater Geelong,GREATER GEELONG,19158,8225
2015,June,4 Western, Hepburn,HEPBURN,743,4845
2015,June,4 Western, Hindmarsh,HINDMARSH,197,3392
2015,June,4 Western, Horsham,HORSHAM,2829,14294
2015,June,4 Western, Loddon,LODDON,337,4475
2015,June,4 Western, Macedon Ranges,MACEDON RANGES,2146,4628
2015,June,4 Western, Mildura,MILDURA,5911,10915
2015,June,4 Western, Moorabool,MOORABOOL,2041,6429
2015,June,4 Western, Mount Alexander,MOUNT ALEXANDER,955,5081
2015,June,4 Western, Moyne,MOYNE,617,3719
2015,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1099,9438
2015,June,4 Western, Pyrenees,PYRENEES,500,6965
2015,June,4 Western, Queenscliffe,QUEENSCLIFFE,150,5114
2015,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1038,6422
2015,June,4 Western, Surf Coast,SURF COAST,1376,4645
2015,June,4 Western, Swan Hill,SWAN HILL,2223,10640
2015,June,4 Western, Warrnambool,WARRNAMBOOL,2978,8758
2015,June,4 Western, West Wimmera,WEST WIMMERA,155,3900
2015,June,4 Western, Yarriambiack,YARRIAMBIACK,377,5523
2015,June,4 Western,Total,TOTAL,74762,7860
2015,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,1041,
2015,June,Justice Institutions and Immigration Facilities,Total,TOTAL,1041,
2015,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,127,
2015,June,Unincorporated Vic,Total,TOTAL,127,
2014,June,1 North West Metro, Banyule,BANYULE,9880,7897
2014,June,1 North West Metro, Brimbank,BRIMBANK,18171,9156
2014,June,1 North West Metro, Darebin,DAREBIN,13672,9144
2014,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6903,7635
2014,June,1 North West Metro, Hume,HUME,16619,8688
2014,June,1 North West Metro, Maribyrnong,MARIBYRNONG,8684,10531
2014,June,1 North West Metro, Melbourne,MELBOURNE,31711,24779
2014,June,1 North West Metro, Melton,MELTON,9489,7338
2014,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,8323,7068
2014,June,1 North West Metro, Moreland,MORELAND,12384,7547
2014,June,1 North West Metro, Nillumbik,NILLUMBIK,2116,3336
2014,June,1 North West Metro, Whittlesea,WHITTLESEA,14051,7478
2014,June,1 North West Metro, Wyndham,WYNDHAM,13105,6503
2014,June,1 North West Metro, Yarra,YARRA,12296,14096
2014,June,1 North West Metro,Total,TOTAL,177404,9257
2014,June,2 Eastern, Alpine,ALPINE,548,4435
2014,June,2 Eastern, Bass Coast,BASS COAST,2749,8613
2014,June,2 Eastern, Baw Baw,BAW BAW,3469,7437
2014,June,2 Eastern, Benalla,BENALLA,1147,8253
2014,June,2 Eastern, Boroondara,BOROONDARA,7338,4250
2014,June,2 Eastern, East Gippsland,EAST GIPPSLAND,3684,8320
2014,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,6862,10735
2014,June,2 Eastern, Indigo,INDIGO,488,3102
2014,June,2 Eastern, Knox,KNOX,9687,6153
2014,June,2 Eastern, Latrobe,LATROBE,10604,14304
2014,June,2 Eastern, Manningham,MANNINGHAM,4193,3511
2014,June,2 Eastern, Mansfield,MANSFIELD,469,5587
2014,June,2 Eastern, Maroondah,MAROONDAH,7338,6586
2014,June,2 Eastern, Mitchell,MITCHELL,3239,8287
2014,June,2 Eastern, Moira,MOIRA,1441,4952
2014,June,2 Eastern, Monash,MONASH,8826,4741
2014,June,2 Eastern, Murrindindi,MURRINDINDI,690,5041
2014,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1143,4008
2014,June,2 Eastern, Strathbogie,STRATHBOGIE,514,5131
2014,June,2 Eastern, Towong,TOWONG,263,4397
2014,June,2 Eastern, Wangaratta,WANGARATTA,2439,8754
2014,June,2 Eastern, Wellington,WELLINGTON,4091,9525
2014,June,2 Eastern, Whitehorse,WHITEHORSE,7376,4489
2014,June,2 Eastern, Wodonga,WODONGA,3030,7897
2014,June,2 Eastern, Yarra Ranges,YARRA RANGES,7104,4675
2014,June,2 Eastern,Total,TOTAL,98732,6132
2014,June,3 Southern Metro, Bayside,BAYSIDE,4259,4268
2014,June,3 Southern Metro, Cardinia,CARDINIA,5870,6665
2014,June,3 Southern Metro, Casey,CASEY,16147,5608
2014,June,3 Southern Metro, Frankston,FRANKSTON,14885,10930
2014,June,3 Southern Metro, Glen Eira,GLEN EIRA,5638,3924
2014,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,15851,10419
2014,June,3 Southern Metro, Kingston,KINGSTON,9578,6211
2014,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,10109,6459
2014,June,3 Southern Metro, Port Phillip,PORT PHILLIP,11323,10840
2014,June,3 Southern Metro, Stonnington,STONNINGTON,9625,9089
2014,June,3 Southern Metro,Total,TOTAL,103285,7228
2014,June,4 Western, Ararat,ARARAT,968,8374
2014,June,4 Western, Ballarat,BALLARAT,9797,9805
2014,June,4 Western, Buloke,BULOKE,195,3078
2014,June,4 Western, Campaspe,CAMPASPE,2731,7314
2014,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1026,7963
2014,June,4 Western, Colac-Otway,COLAC-OTWAY,1616,7648
2014,June,4 Western, Corangamite,CORANGAMITE,639,3911
2014,June,4 Western, Gannawarra,GANNAWARRA,570,5411
2014,June,4 Western, Glenelg,GLENELG,1578,7988
2014,June,4 Western, Golden Plains,GOLDEN PLAINS,503,2407
2014,June,4 Western, Greater Bendigo,GREATER BENDIGO,8325,7712
2014,June,4 Western, Greater Geelong,GREATER GEELONG,17106,7511
2014,June,4 Western, Hepburn,HEPBURN,603,3971
2014,June,4 Western, Hindmarsh,HINDMARSH,218,3730
2014,June,4 Western, Horsham,HORSHAM,1966,9955
2014,June,4 Western, Loddon,LODDON,551,7334
2014,June,4 Western, Macedon Ranges,MACEDON RANGES,1928,4240
2014,June,4 Western, Mildura,MILDURA,5768,10734
2014,June,4 Western, Moorabool,MOORABOOL,1793,5772
2014,June,4 Western, Mount Alexander,MOUNT ALEXANDER,891,4816
2014,June,4 Western, Moyne,MOYNE,626,3791
2014,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,906,7693
2014,June,4 Western, Pyrenees,PYRENEES,440,6244
2014,June,4 Western, Queenscliffe,QUEENSCLIFFE,103,3468
2014,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1081,6650
2014,June,4 Western, Surf Coast,SURF COAST,1304,4516
2014,June,4 Western, Swan Hill,SWAN HILL,1933,9231
2014,June,4 Western, Warrnambool,WARRNAMBOOL,2645,7842
2014,June,4 Western, West Wimmera,WEST WIMMERA,160,3962
2014,June,4 Western, Yarriambiack,YARRIAMBIACK,294,4246
2014,June,4 Western,Total,TOTAL,68264,7274
2014,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,1135,
2014,June,Justice Institutions and Immigration Facilities,Total,TOTAL,1135,
2014,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,63,
2014,June,Unincorporated Vic,Total,TOTAL,63,
2013,June,1 North West Metro, Banyule,BANYULE,7517,6047
2013,June,1 North West Metro, Brimbank,BRIMBANK,18872,9620
2013,June,1 North West Metro, Darebin,DAREBIN,11129,7557
2013,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6913,7751
2013,June,1 North West Metro, Hume,HUME,15075,8154
2013,June,1 North West Metro, Maribyrnong,MARIBYRNONG,8298,10401
2013,June,1 North West Metro, Melbourne,MELBOURNE,34248,28850
2013,June,1 North West Metro, Melton,MELTON,8371,6754
2013,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,8049,6971
2013,June,1 North West Metro, Moreland,MORELAND,11788,7355
2013,June,1 North West Metro, Nillumbik,NILLUMBIK,1925,3047
2013,June,1 North West Metro, Whittlesea,WHITTLESEA,11926,6652
2013,June,1 North West Metro, Wyndham,WYNDHAM,12075,6348
2013,June,1 North West Metro, Yarra,YARRA,10625,12655
2013,June,1 North West Metro,Total,TOTAL,166811,8985
2013,June,2 Eastern, Alpine,ALPINE,417,3395
2013,June,2 Eastern, Bass Coast,BASS COAST,2229,7114
2013,June,2 Eastern, Baw Baw,BAW BAW,3104,6803
2013,June,2 Eastern, Benalla,BENALLA,1020,7350
2013,June,2 Eastern, Boroondara,BOROONDARA,6778,3976
2013,June,2 Eastern, East Gippsland,EAST GIPPSLAND,3817,8713
2013,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,6060,9582
2013,June,2 Eastern, Indigo,INDIGO,436,2794
2013,June,2 Eastern, Knox,KNOX,8779,5615
2013,June,2 Eastern, Latrobe,LATROBE,10268,13852
2013,June,2 Eastern, Manningham,MANNINGHAM,3530,2983
2013,June,2 Eastern, Mansfield,MANSFIELD,320,3867
2013,June,2 Eastern, Maroondah,MAROONDAH,6320,5757
2013,June,2 Eastern, Mitchell,MITCHELL,2506,6632
2013,June,2 Eastern, Moira,MOIRA,1301,4501
2013,June,2 Eastern, Monash,MONASH,8503,4640
2013,June,2 Eastern, Murrindindi,MURRINDINDI,632,4660
2013,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1373,4856
2013,June,2 Eastern, Strathbogie,STRATHBOGIE,518,5250
2013,June,2 Eastern, Towong,TOWONG,271,4546
2013,June,2 Eastern, Wangaratta,WANGARATTA,2313,8365
2013,June,2 Eastern, Wellington,WELLINGTON,3781,8850
2013,June,2 Eastern, Whitehorse,WHITEHORSE,7256,4477
2013,June,2 Eastern, Wodonga,WODONGA,2925,7784
2013,June,2 Eastern, Yarra Ranges,YARRA RANGES,6290,4168
2013,June,2 Eastern,Total,TOTAL,90747,5701
2013,June,3 Southern Metro, Bayside,BAYSIDE,4167,4241
2013,June,3 Southern Metro, Cardinia,CARDINIA,5318,6287
2013,June,3 Southern Metro, Casey,CASEY,15468,5564
2013,June,3 Southern Metro, Frankston,FRANKSTON,13610,10130
2013,June,3 Southern Metro, Glen Eira,GLEN EIRA,5801,4107
2013,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,15503,10440
2013,June,3 Southern Metro, Kingston,KINGSTON,9056,5945
2013,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,9068,5888
2013,June,3 Southern Metro, Port Phillip,PORT PHILLIP,11417,11176
2013,June,3 Southern Metro, Stonnington,STONNINGTON,8980,8677
2013,June,3 Southern Metro,Total,TOTAL,98388,7043
2013,June,4 Western, Ararat,ARARAT,1331,11584
2013,June,4 Western, Ballarat,BALLARAT,9656,9819
2013,June,4 Western, Buloke,BULOKE,280,4383
2013,June,4 Western, Campaspe,CAMPASPE,2593,6968
2013,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1075,8389
2013,June,4 Western, Colac-Otway,COLAC-OTWAY,1362,6475
2013,June,4 Western, Corangamite,CORANGAMITE,636,3876
2013,June,4 Western, Gannawarra,GANNAWARRA,561,5330
2013,June,4 Western, Glenelg,GLENELG,1365,6895
2013,June,4 Western, Golden Plains,GOLDEN PLAINS,498,2446
2013,June,4 Western, Greater Bendigo,GREATER BENDIGO,8201,7740
2013,June,4 Western, Greater Geelong,GREATER GEELONG,16339,7315
2013,June,4 Western, Hepburn,HEPBURN,642,4274
2013,June,4 Western, Hindmarsh,HINDMARSH,277,4733
2013,June,4 Western, Horsham,HORSHAM,2652,13466
2013,June,4 Western, Loddon,LODDON,412,5480
2013,June,4 Western, Macedon Ranges,MACEDON RANGES,1704,3821
2013,June,4 Western, Mildura,MILDURA,5501,10349
2013,June,4 Western, Moorabool,MOORABOOL,1781,5857
2013,June,4 Western, Mount Alexander,MOUNT ALEXANDER,900,4932
2013,June,4 Western, Moyne,MOYNE,555,3378
2013,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1974,16616
2013,June,4 Western, Pyrenees,PYRENEES,365,5261
2013,June,4 Western, Queenscliffe,QUEENSCLIFFE,93,3098
2013,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1026,6273
2013,June,4 Western, Surf Coast,SURF COAST,1187,4205
2013,June,4 Western, Swan Hill,SWAN HILL,1760,8380
2013,June,4 Western, Warrnambool,WARRNAMBOOL,2264,6774
2013,June,4 Western, West Wimmera,WEST WIMMERA,173,4195
2013,June,4 Western, Yarriambiack,YARRIAMBIACK,372,5290
2013,June,4 Western,Total,TOTAL,67535,7288
2013,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,1249,
2013,June,Justice Institutions and Immigration Facilities,Total,TOTAL,1249,
2013,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,114,
2013,June,Unincorporated Vic,Total,TOTAL,114,
2012,June,1 North West Metro, Banyule,BANYULE,7280,5891
2012,June,1 North West Metro, Brimbank,BRIMBANK,17348,8953
2012,June,1 North West Metro, Darebin,DAREBIN,11836,8164
2012,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6425,7273
2012,June,1 North West Metro, Hume,HUME,14806,8262
2012,June,1 North West Metro, Maribyrnong,MARIBYRNONG,9146,11850
2012,June,1 North West Metro, Melbourne,MELBOURNE,31624,29396
2012,June,1 North West Metro, Melton,MELTON,8258,6979
2012,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,7806,6867
2012,June,1 North West Metro, Moreland,MORELAND,11677,7439
2012,June,1 North West Metro, Nillumbik,NILLUMBIK,1840,2924
2012,June,1 North West Metro, Whittlesea,WHITTLESEA,11673,6867
2012,June,1 North West Metro, Wyndham,WYNDHAM,12488,6971
2012,June,1 North West Metro, Yarra,YARRA,10945,13468
2012,June,1 North West Metro,Total,TOTAL,163152,9079
2012,June,2 Eastern, Alpine,ALPINE,414,3398
2012,June,2 Eastern, Bass Coast,BASS COAST,2069,6715
2012,June,2 Eastern, Baw Baw,BAW BAW,2524,5671
2012,June,2 Eastern, Benalla,BENALLA,932,6730
2012,June,2 Eastern, Boroondara,BOROONDARA,6437,3821
2012,June,2 Eastern, East Gippsland,EAST GIPPSLAND,2930,6762
2012,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,6268,10019
2012,June,2 Eastern, Indigo,INDIGO,499,3229
2012,June,2 Eastern, Knox,KNOX,8409,5411
2012,June,2 Eastern, Latrobe,LATROBE,9094,12289
2012,June,2 Eastern, Manningham,MANNINGHAM,4123,3511
2012,June,2 Eastern, Mansfield,MANSFIELD,349,4310
2012,June,2 Eastern, Maroondah,MAROONDAH,6564,6053
2012,June,2 Eastern, Mitchell,MITCHELL,2391,6572
2012,June,2 Eastern, Moira,MOIRA,1458,5085
2012,June,2 Eastern, Monash,MONASH,8162,4527
2012,June,2 Eastern, Murrindindi,MURRINDINDI,599,4452
2012,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1086,3889
2012,June,2 Eastern, Strathbogie,STRATHBOGIE,423,4341
2012,June,2 Eastern, Towong,TOWONG,283,4764
2012,June,2 Eastern, Wangaratta,WANGARATTA,2207,8044
2012,June,2 Eastern, Wellington,WELLINGTON,3146,7412
2012,June,2 Eastern, Whitehorse,WHITEHORSE,6292,3941
2012,June,2 Eastern, Wodonga,WODONGA,3096,8423
2012,June,2 Eastern, Yarra Ranges,YARRA RANGES,6346,4235
2012,June,2 Eastern,Total,TOTAL,86101,5473
2012,June,3 Southern Metro, Bayside,BAYSIDE,4346,4482
2012,June,3 Southern Metro, Cardinia,CARDINIA,4666,5802
2012,June,3 Southern Metro, Casey,CASEY,14392,5345
2012,June,3 Southern Metro, Frankston,FRANKSTON,12329,9326
2012,June,3 Southern Metro, Glen Eira,GLEN EIRA,5680,4083
2012,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,14384,9912
2012,June,3 Southern Metro, Kingston,KINGSTON,8986,5973
2012,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,9039,5958
2012,June,3 Southern Metro, Port Phillip,PORT PHILLIP,11306,11318
2012,June,3 Southern Metro, Stonnington,STONNINGTON,8737,8616
2012,June,3 Southern Metro,Total,TOTAL,93865,6869
2012,June,4 Western, Ararat,ARARAT,1105,9693
2012,June,4 Western, Ballarat,BALLARAT,9790,10121
2012,June,4 Western, Buloke,BULOKE,297,4616
2012,June,4 Western, Campaspe,CAMPASPE,2513,6784
2012,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,863,6788
2012,June,4 Western, Colac-Otway,COLAC-OTWAY,1420,6794
2012,June,4 Western, Corangamite,CORANGAMITE,803,4876
2012,June,4 Western, Gannawarra,GANNAWARRA,481,4582
2012,June,4 Western, Glenelg,GLENELG,1290,6507
2012,June,4 Western, Golden Plains,GOLDEN PLAINS,436,2224
2012,June,4 Western, Greater Bendigo,GREATER BENDIGO,6762,6508
2012,June,4 Western, Greater Geelong,GREATER GEELONG,15128,6903
2012,June,4 Western, Hepburn,HEPBURN,691,4661
2012,June,4 Western, Hindmarsh,HINDMARSH,253,4320
2012,June,4 Western, Horsham,HORSHAM,2008,10241
2012,June,4 Western, Loddon,LODDON,412,5472
2012,June,4 Western, Macedon Ranges,MACEDON RANGES,1464,3343
2012,June,4 Western, Mildura,MILDURA,5273,10049
2012,June,4 Western, Moorabool,MOORABOOL,1442,4911
2012,June,4 Western, Mount Alexander,MOUNT ALEXANDER,879,4869
2012,June,4 Western, Moyne,MOYNE,628,3852
2012,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,924,7719
2012,June,4 Western, Pyrenees,PYRENEES,254,3703
2012,June,4 Western, Queenscliffe,QUEENSCLIFFE,316,10337
2012,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,977,5935
2012,June,4 Western, Surf Coast,SURF COAST,1341,4871
2012,June,4 Western, Swan Hill,SWAN HILL,1809,8626
2012,June,4 Western, Warrnambool,WARRNAMBOOL,2337,7069
2012,June,4 Western, West Wimmera,WEST WIMMERA,134,3180
2012,June,4 Western, Yarriambiack,YARRIAMBIACK,394,5553
2012,June,4 Western,Total,TOTAL,62424,6832
2012,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,1004,
2012,June,Justice Institutions and Immigration Facilities,Total,TOTAL,1004,
2012,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,135,
2012,June,Unincorporated Vic,Total,TOTAL,135,
2011,June,1 North West Metro, Banyule,BANYULE,6571,5343
2011,June,1 North West Metro, Brimbank,BRIMBANK,16565,8650
2011,June,1 North West Metro, Darebin,DAREBIN,11022,7711
2011,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,5464,6252
2011,June,1 North West Metro, Hume,HUME,13044,7484
2011,June,1 North West Metro, Maribyrnong,MARIBYRNONG,8363,11128
2011,June,1 North West Metro, Melbourne,MELBOURNE,29608,29537
2011,June,1 North West Metro, Melton,MELTON,6576,5838
2011,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,7148,6372
2011,June,1 North West Metro, Moreland,MORELAND,10426,6759
2011,June,1 North West Metro, Nillumbik,NILLUMBIK,1885,3006
2011,June,1 North West Metro, Whittlesea,WHITTLESEA,9684,6022
2011,June,1 North West Metro, Wyndham,WYNDHAM,10586,6350
2011,June,1 North West Metro, Yarra,YARRA,10848,13749
2011,June,1 North West Metro,Total,TOTAL,147790,8481
2011,June,2 Eastern, Alpine,ALPINE,363,3008
2011,June,2 Eastern, Bass Coast,BASS COAST,2032,6721
2011,June,2 Eastern, Baw Baw,BAW BAW,1948,4490
2011,June,2 Eastern, Benalla,BENALLA,903,6535
2011,June,2 Eastern, Boroondara,BOROONDARA,5797,3470
2011,June,2 Eastern, East Gippsland,EAST GIPPSLAND,3178,7421
2011,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,5638,9131
2011,June,2 Eastern, Indigo,INDIGO,448,2925
2011,June,2 Eastern, Knox,KNOX,7821,5058
2011,June,2 Eastern, Latrobe,LATROBE,8162,11061
2011,June,2 Eastern, Manningham,MANNINGHAM,3545,3036
2011,June,2 Eastern, Mansfield,MANSFIELD,359,4520
2011,June,2 Eastern, Maroondah,MAROONDAH,5983,5575
2011,June,2 Eastern, Mitchell,MITCHELL,2846,8107
2011,June,2 Eastern, Moira,MOIRA,1401,4932
2011,June,2 Eastern, Monash,MONASH,7885,4446
2011,June,2 Eastern, Murrindindi,MURRINDINDI,580,4349
2011,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1029,3740
2011,June,2 Eastern, Strathbogie,STRATHBOGIE,438,4563
2011,June,2 Eastern, Towong,TOWONG,214,3616
2011,June,2 Eastern, Wangaratta,WANGARATTA,2082,7651
2011,June,2 Eastern, Wellington,WELLINGTON,2725,6478
2011,June,2 Eastern, Whitehorse,WHITEHORSE,6284,3989
2011,June,2 Eastern, Wodonga,WODONGA,2849,7908
2011,June,2 Eastern, Yarra Ranges,YARRA RANGES,6194,4160
2011,June,2 Eastern,Total,TOTAL,80704,5187
2011,June,3 Southern Metro, Bayside,BAYSIDE,3295,3428
2011,June,3 Southern Metro, Cardinia,CARDINIA,4067,5363
2011,June,3 Southern Metro, Casey,CASEY,14032,5370
2011,June,3 Southern Metro, Frankston,FRANKSTON,11822,9069
2011,June,3 Southern Metro, Glen Eira,GLEN EIRA,5244,3823
2011,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,13468,9473
2011,June,3 Southern Metro, Kingston,KINGSTON,9038,6094
2011,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,8367,5605
2011,June,3 Southern Metro, Port Phillip,PORT PHILLIP,9862,10138
2011,June,3 Southern Metro, Stonnington,STONNINGTON,8212,8307
2011,June,3 Southern Metro,Total,TOTAL,87407,6539
2011,June,4 Western, Ararat,ARARAT,922,8141
2011,June,4 Western, Ballarat,BALLARAT,8844,9291
2011,June,4 Western, Buloke,BULOKE,349,5398
2011,June,4 Western, Campaspe,CAMPASPE,2756,7478
2011,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,967,7687
2011,June,4 Western, Colac-Otway,COLAC-OTWAY,1305,6274
2011,June,4 Western, Corangamite,CORANGAMITE,671,4060
2011,June,4 Western, Gannawarra,GANNAWARRA,666,6371
2011,June,4 Western, Glenelg,GLENELG,1547,7794
2011,June,4 Western, Golden Plains,GOLDEN PLAINS,450,2374
2011,June,4 Western, Greater Bendigo,GREATER BENDIGO,5676,5565
2011,June,4 Western, Greater Geelong,GREATER GEELONG,14667,6795
2011,June,4 Western, Hepburn,HEPBURN,687,4696
