Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2019,June,1 North West Metro, Moreland,MORELAND,14251,7671
2019,June,1 North West Metro, Nillumbik,NILLUMBIK,2149,3301
2019,June,1 North West Metro, Whittlesea,WHITTLESEA,16039,6966
2019,June,1 North West Metro, Wyndham,WYNDHAM,15328,5667
2019,June,1 North West Metro, Yarra,YARRA,13178,12984
2019,June,1 North West Metro,Total,TOTAL,192403,8524
2019,June,2 Eastern, Alpine,ALPINE,601,4690
2019,June,2 Eastern, Bass Coast,BASS COAST,2448,6740
2019,June,2 Eastern, Baw Baw,BAW BAW,4718,8836
2019,June,2 Eastern, Benalla,BENALLA,1293,9211
2019,June,2 Eastern, Boroondara,BOROONDARA,7266,3966
2019,June,2 Eastern, East Gippsland,EAST GIPPSLAND,4560,9637
2019,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,8810,13249
2019,June,2 Eastern, Indigo,INDIGO,572,3425
2019,June,2 Eastern, Knox,KNOX,11046,6713
2019,June,2 Eastern, Latrobe,LATROBE,14267,18881
2019,June,2 Eastern, Manningham,MANNINGHAM,4721,3701
2019,June,2 Eastern, Mansfield,MANSFIELD,453,4937
2019,June,2 Eastern, Maroondah,MAROONDAH,8247,6956
2019,June,2 Eastern, Mitchell,MITCHELL,4523,9815
2019,June,2 Eastern, Moira,MOIRA,2338,7813
2019,June,2 Eastern, Monash,MONASH,10549,5200
2019,June,2 Eastern, Murrindindi,MURRINDINDI,738,5065
2019,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1583,5292
2019,June,2 Eastern, Strathbogie,STRATHBOGIE,657,6094
2019,June,2 Eastern, Towong,TOWONG,205,3394
2019,June,2 Eastern, Wangaratta,WANGARATTA,2362,8093
2019,June,2 Eastern, Wellington,WELLINGTON,4261,9601
2019,June,2 Eastern, Whitehorse,WHITEHORSE,8576,4798
2019,June,2 Eastern, Wodonga,WODONGA,3294,7827
2019,June,2 Eastern, Yarra Ranges,YARRA RANGES,8489,5324
2019,June,2 Eastern,Total,TOTAL,116577,6779
2019,June,3 Southern Metro, Bayside,BAYSIDE,4843,4532
2019,June,3 Southern Metro, Cardinia,CARDINIA,6412,5717
2019,June,3 Southern Metro, Casey,CASEY,21505,6077
2019,June,3 Southern Metro, Frankston,FRANKSTON,14381,10082
2019,June,3 Southern Metro, Glen Eira,GLEN EIRA,6682,4269
2019,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,18115,10770
2019,June,3 Southern Metro, Kingston,KINGSTON,11622,7010
2019,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,10642,6348
2019,June,3 Southern Metro, Port Phillip,PORT PHILLIP,12342,10676
2019,June,3 Southern Metro, Stonnington,STONNINGTON,10533,8944
2019,June,3 Southern Metro,Total,TOTAL,117077,7285
2019,June,4 Western, Ararat,ARARAT,1301,10984
2019,June,4 Western, Ballarat,BALLARAT,10882,9937
2019,June,4 Western, Buloke,BULOKE,253,4131
2019,June,4 Western, Campaspe,CAMPASPE,4125,10964
2019,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1317,9988
2019,June,4 Western, Colac-Otway,COLAC-OTWAY,1593,7387
2019,June,4 Western, Corangamite,CORANGAMITE,673,4201
2019,June,4 Western, Gannawarra,GANNAWARRA,896,8556
2019,June,4 Western, Glenelg,GLENELG,1433,7284
2019,June,4 Western, Golden Plains,GOLDEN PLAINS,602,2538
2019,June,4 Western, Greater Bendigo,GREATER BENDIGO,11250,9526
2019,June,4 Western, Greater Geelong,GREATER GEELONG,20731,8006
2019,June,4 Western, Hepburn,HEPBURN,796,4983
